"Identifier","Frequency","Languages"
"you_pron",6214,"Old English"
"you_pron",6214,"French"
"you_pron",6214,"Frisian"
"you_pron",6214,"German"
"you_pron",6214,"Old High German"
"you_pron",6214,"Germanic"
"you_pron",6214,"Old Norse"
"better_adv",67,"Danish"
"better_adv",67,"Middle English"
"better_adv",67,"Old English"
"better_adv",67,"Frisian"
"better_adv",67,"German"
"better_adv",67,"Old High German"
"better_adv",67,"Germanic"
"better_adv",67,"Gothic"
"better_adv",67,"Old Norse"
"celebrate_v",3,"Latin"
"twenty_n",2,"Dutch"
"twenty_n",2,"Old English"
"twenty_n",2,"French"
"twenty_n",2,"Frisian"
"twenty_n",2,"German"
"twenty_n",2,"Low German"
"twenty_n",2,"Old High German"
"twenty_n",2,"Gothic"
"childhood_n",3,"Middle English"
"childhood_n",3,"Old English"
"childhood_n",3,"German"
"combine_v",1,"French"
"combine_v",1,"Old French"
"combine_v",1,"Latin"
"something_pron",238,"Middle English"
"something_pron",238,"Old English"
"plan_n",45,"French"
"plan_n",45,"Latin"
"autumn_n",23,"French"
"autumn_n",23,"Old French"
"autumn_n",23,"Greek"
"autumn_n",23,"Indo-European"
"autumn_n",23,"Irish"
"autumn_n",23,"Old Irish"
"autumn_n",23,"Italian"
"autumn_n",23,"Latin"
"autumn_n",23,"Lithuanian"
"autumn_n",23,"Portuguese"
"autumn_n",23,"Spanish"
"tongue_n",107,"Dutch"
"tongue_n",107,"Middle Dutch"
"tongue_n",107,"Old English"
"tongue_n",107,"Frisian"
"tongue_n",107,"German"
"tongue_n",107,"Old High German"
"tongue_n",107,"Germanic"
"tongue_n",107,"Gothic"
"tongue_n",107,"Old Norse"
"travel_v",11,"Old English"
"topic_n",1,"Greek"
"topic_n",1,"Latin"
"conversation_n",5,"French"
"conversation_n",5,"Old French"
"conversation_n",5,"Latin"
"reminiscence_n",1,"French"
"reminiscence_n",1,"Old French"
"reminiscence_n",1,"Greek"
"reminiscence_n",1,"Latin"
"welcome_n",16,"Dutch"
"welcome_n",16,"Middle Dutch"
"welcome_n",16,"Old English"
"welcome_n",16,"German"
"welcome_n",16,"Old High German"
"welcome_v",28,"Old English"
"attentive_adj",2,"French"
"attentive_adj",2,"Old French"
"attentive_adj",2,"Latin"
"audience_n",5,"French"
"audience_n",5,"Old French"
"audience_n",5,"Latin"
"forth_adv",95,"Dutch"
"forth_adv",95,"Old English"
"forth_adv",95,"Frisian"
"forth_adv",95,"German"
"forth_adv",95,"Germanic"
"forth_adv",95,"Old Norse"
"stiff_adj",2,"Dutch"
"stiff_adj",2,"Middle English"
"stiff_adj",2,"Old English"
"stiff_adj",2,"Frisian"
"stiff_adj",2,"German"
"stiff_adj",2,"Old High German"
"stiff_adj",2,"Germanic"
"stiff_adj",2,"Greek"
"stiff_adj",2,"Latin"
"stiff_adj",2,"Lithuanian"
"stiff_adj",2,"Old Norse"
"stiff_adj",2,"Church Slavonic"
"stiff_adj",2,"Old Church Slavonic"
"stiff_adj",2,"Sanskrit"
"joint_n",5,"French"
"joint_n",5,"Old French"
"joint_n",5,"Irish"
"joint_n",5,"Latin"
"father_n",80,"Dutch"
"father_n",80,"Middle English"
"father_n",80,"Old English"
"father_n",80,"Frisian"
"father_n",80,"German"
"father_n",80,"Old High German"
"father_n",80,"Germanic"
"father_n",80,"Gothic"
"father_n",80,"Greek"
"father_n",80,"Irish"
"father_n",80,"Old Irish"
"father_n",80,"Latin"
"father_n",80,"Old Norse"
"father_n",80,"Persian"
"father_n",80,"Old Persian"
"father_n",80,"Sanskrit"
"below_adv",89,"Middle English"
"nice_adj",87,"French"
"nice_adj",87,"Old French"
"nice_adj",87,"Latin"
"declare_v",17,"French"
"declare_v",17,"Old French"
"declare_v",17,"Latin"
"perfect_adj",7,"Middle English"
"perfect_adj",7,"French"
"perfect_adj",7,"Old French"
"perfect_adj",7,"Latin"
"polite_adj",3,"Latin"
"consult_v",6,"French"
"consult_v",6,"Gothic"
"consult_v",6,"Latin"
"consult_v",6,"Old Norse"
"consult_v",6,"Welsh"
"vegetable_n",1,"Danish"
"vegetable_n",1,"Old English"
"vegetable_n",1,"Greek"
"vegetable_n",1,"Indo-European"
"vegetable_n",1,"Irish"
"vegetable_n",1,"Italian"
"vegetable_n",1,"Spanish"
"recognize_v",9,"French"
"recognize_v",9,"Old French"
"recognize_v",9,"Latin"
"wife_n",11,"Danish"
"wife_n",11,"Dutch"
"wife_n",11,"Middle Dutch"
"wife_n",11,"Middle English"
"wife_n",11,"Old English"
"wife_n",11,"Frisian"
"wife_n",11,"German"
"wife_n",11,"Middle High German"
"wife_n",11,"Old High German"
"wife_n",11,"Germanic"
"wife_n",11,"Gothic"
"wife_n",11,"Indo-European"
"wife_n",11,"Old Norse"
"wife_n",11,"Swedish"
"queer_adj",5,"German"
"queer_adj",5,"Low German"
"queer_adj",5,"Old High German"
"next_adj",76,"Dutch"
"next_adj",76,"Middle English"
"next_adj",76,"Old English"
"next_adj",76,"German"
"next_adj",76,"Old High German"
"next_adj",76,"Germanic"
"next_adj",76,"Old Norse"
"wrong_adj",39,"Danish"
"wrong_adj",39,"Dutch"
"wrong_adj",39,"Middle Dutch"
"wrong_adj",39,"Old English"
"wrong_adj",39,"French"
"wrong_adj",39,"German"
"wrong_adj",39,"Germanic"
"wrong_adj",39,"Italian"
"wrong_adj",39,"Latin"
"wrong_adj",39,"Old Norse"
"wrong_adj",39,"Slavic"
"wrong_n",3,"Old English"
"dad_n",13,"Czech"
"dad_n",13,"Greek"
"dad_n",13,"Irish"
"dad_n",13,"Latin"
"dad_n",13,"Lithuanian"
"dad_n",13,"Sanskrit"
"dad_n",13,"Welsh"
"big_adj",66,"Old English"
"big_adj",66,"Norwegian"
"decent_adj",6,"French"
"decent_adj",6,"Latin"
"voice_n",458,"Old English"
"voice_n",458,"French"
"voice_n",458,"Old French"
"voice_n",458,"German"
"voice_n",458,"Germanic"
"voice_n",458,"Italian"
"voice_n",458,"Latin"
"voice_n",458,"Spanish"
"passion_n",2,"Middle English"
"passion_n",2,"Old English"
"passion_n",2,"French"
"passion_n",2,"Old French"
"passion_n",2,"German"
"passion_n",2,"Greek"
"passion_n",2,"Latin"
"ready_adj",112,"Dutch"
"ready_adj",112,"Middle Dutch"
"ready_adj",112,"Middle English"
"ready_adj",112,"Old English"
"ready_adj",112,"Frisian"
"ready_adj",112,"German"
"ready_adj",112,"Middle High German"
"ready_adj",112,"Old High German"
"ready_adj",112,"Germanic"
"ready_adj",112,"Gothic"
"ready_adj",112,"Old Norse"
"marry_v",2,"French"
"marry_v",2,"Old French"
"marry_v",2,"Indo-European"
"marry_v",2,"Italian"
"marry_v",2,"Latin"
"marry_v",2,"Old Norse"
"marry_v",2,"Portuguese"
"marry_v",2,"Sanskrit"
"marry_v",2,"Spanish"
"marry_v",2,"Welsh"
"she_pron",919,"Dutch"
"she_pron",919,"Old English"
"she_pron",919,"German"
"she_pron",919,"Greek"
"cousin_n",10,"Danish"
"cousin_n",10,"Middle English"
"cousin_n",10,"Old English"
"cousin_n",10,"French"
"cousin_n",10,"Old French"
"cousin_n",10,"German"
"cousin_n",10,"Old High German"
"cousin_n",10,"Germanic"
"cousin_n",10,"Irish"
"cousin_n",10,"Italian"
"cousin_n",10,"Latin"
"cousin_n",10,"Polish"
"cousin_n",10,"Sanskrit"
"cousin_n",10,"Slavic"
"daughter_n",27,"Armenian"
"daughter_n",27,"Avestan"
"daughter_n",27,"Celtic"
"daughter_n",27,"Dutch"
"daughter_n",27,"Middle English"
"daughter_n",27,"Old English"
"daughter_n",27,"French"
"daughter_n",27,"Old French"
"daughter_n",27,"Frisian"
"daughter_n",27,"German"
"daughter_n",27,"Germanic"
"daughter_n",27,"Gothic"
"daughter_n",27,"Greek"
"daughter_n",27,"Indo-European"
"daughter_n",27,"Latin"
"daughter_n",27,"Lithuanian"
"daughter_n",27,"Old Norse"
"daughter_n",27,"Church Slavonic"
"daughter_n",27,"Old Church Slavonic"
"daughter_n",27,"Russian"
"daughter_n",27,"Sanskrit"
"daughter_n",27,"Spanish"
"remove_v",32,"French"
"remove_v",32,"Old French"
"remove_v",32,"Latin"
"marriage_n",2,"French"
"marriage_n",2,"Old French"
"marriage_n",2,"Italian"
"marriage_n",2,"Latin"
"marriage_n",2,"Spanish"
"partial_adj",1,"French"
"partial_adj",1,"Old French"
"partial_adj",1,"Latin"
"mighty_adj",7,"Dutch"
"mighty_adj",7,"Old English"
"mighty_adj",7,"Frisian"
"mighty_adj",7,"German"
"mighty_adj",7,"Germanic"
"table_n",72,"Danish"
"table_n",72,"Dutch"
"table_n",72,"Middle English"
"table_n",72,"Old English"
"table_n",72,"French"
"table_n",72,"Old French"
"table_n",72,"German"
"table_n",72,"Old High German"
"table_n",72,"Germanic"
"table_n",72,"Italian"
"table_n",72,"Latin"
"table_n",72,"Spanish"
"dinner_n",9,"French"
"dinner_n",9,"Old French"
"dinner_n",9,"Ga"
"dinner_n",9,"Latin"
"weight_n",38,"Danish"
"weight_n",38,"Dutch"
"weight_n",38,"Middle Dutch"
"weight_n",38,"Old English"
"weight_n",38,"Frisian"
"weight_n",38,"German"
"weight_n",38,"Germanic"
"weight_n",38,"Old Norse"
"sink_v",20,"Dutch"
"sink_v",20,"Middle Dutch"
"sink_v",20,"Middle English"
"sink_v",20,"Old English"
"sink_v",20,"German"
"sink_v",20,"Old High German"
"sink_v",20,"Germanic"
"sink_v",20,"Gothic"
"sink_v",20,"Old Norse"
"push_v",22,"French"
"push_v",22,"Old French"
"push_v",22,"Latin"
"pull_v",25,"Dutch"
"pull_v",25,"Middle Dutch"
"pull_v",25,"Old English"
"pull_v",25,"Frisian"
"pull_v",25,"Georgian"
"pull_v",25,"German"
"pull_v",25,"Low German"
"pull_v",25,"Icelandic"
"man_n",778,"Armenian"
"man_n",778,"Danish"
"man_n",778,"Dutch"
"man_n",778,"Middle English"
"man_n",778,"Old English"
"man_n",778,"Frisian"
"man_n",778,"German"
"man_n",778,"Old High German"
"man_n",778,"Germanic"
"man_n",778,"Gothic"
"man_n",778,"Greek"
"man_n",778,"Irish"
"man_n",778,"Old Irish"
"man_n",778,"Latin"
"man_n",778,"Lithuanian"
"man_n",778,"Old Norse"
"man_n",778,"Sanskrit"
"man_n",778,"Slavic"
"man_n",778,"Swedish"
"man_n",778,"Welsh"
"man_v",5,"Middle English"
"man_v",5,"Old English"
"sit_v",409,"Danish"
"sit_v",409,"Dutch"
"sit_v",409,"Middle Dutch"
"sit_v",409,"Middle English"
"sit_v",409,"Old English"
"sit_v",409,"Frisian"
"sit_v",409,"German"
"sit_v",409,"Old High German"
"sit_v",409,"Germanic"
"sit_v",409,"Gothic"
"sit_v",409,"Old Norse"
"cause_n",9,"French"
"cause_n",9,"Old French"
"cause_n",9,"Latin"
"cause_v",4,"French"
"cause_v",4,"Old French"
"cause_v",4,"Latin"
"anyway_adv",64,"Middle English"
"anyway_adv",64,"Old English"
"anyhow_adv",5,"Middle English"
"regular_adj",2,"Old English"
"regular_adj",2,"French"
"regular_adj",2,"Old French"
"regular_adj",2,"Latin"
"warren_n",1,"French"
"warren_n",1,"Old French"
"warren_n",1,"Ga"
"warren_n",1,"German"
"warren_n",1,"Germanic"
"couple_n",18,"French"
"couple_n",18,"Old French"
"couple_n",18,"Latin"
"nasty_adj",23,"Danish"
"nasty_adj",23,"Dutch"
"nasty_adj",23,"Middle English"
"nasty_adj",23,"French"
"nasty_adj",23,"Old French"
"nasty_adj",23,"Latin"
"nasty_adj",23,"Old Norse"
"nasty_adj",23,"Swedish"
"dead_adj",183,"Danish"
"dead_adj",183,"Dutch"
"dead_adj",183,"Middle Dutch"
"dead_adj",183,"Middle English"
"dead_adj",183,"Old English"
"dead_adj",183,"Frisian"
"dead_adj",183,"German"
"dead_adj",183,"Old High German"
"dead_adj",183,"Germanic"
"dead_adj",183,"Gothic"
"dead_adj",183,"Old Norse"
"dead_adj",183,"Swedish"
"dead_n",45,"Old English"
"bless_v",27,"Middle English"
"bless_v",27,"Old English"
"bless_v",27,"German"
"bless_v",27,"Germanic"
"bless_v",27,"Greek"
"bless_v",27,"Hebrew"
"bless_v",27,"Latin"
"tidy_adj",2,"Danish"
"tidy_adj",2,"Dutch"
"tidy_adj",2,"Old English"
"tidy_adj",2,"German"
"tidy_adj",2,"Old High German"
"tuck_v",2,"Dutch"
"tuck_v",2,"Middle Dutch"
"tuck_v",2,"Old English"
"tuck_v",2,"German"
"tuck_v",2,"Low German"
"stranger_n",50,"French"
"stranger_n",50,"Old French"
"stranger_n",50,"Latin"
"visitor_n",5,"French"
"visitor_n",5,"Old French"
"pack_n",56,"Dutch"
"pack_n",56,"Flemish"
"pack_n",56,"Middle Dutch"
"pack_n",56,"French"
"pack_n",56,"German"
"pack_n",56,"Low German"
"pack_n",56,"Italian"
"pack_n",56,"Old Norse"
"pack_v",16,"Dutch"
"pack_v",16,"Middle Dutch"
"pack_v",16,"French"
"pack_v",16,"German"
"pack_v",16,"Germanic"
"pack_v",16,"Latin"
"chest_n",6,"Dutch"
"chest_n",6,"Middle Dutch"
"chest_n",6,"Middle English"
"chest_n",6,"Old English"
"chest_n",6,"Frisian"
"chest_n",6,"German"
"chest_n",6,"Old High German"
"chest_n",6,"Germanic"
"chest_n",6,"Greek"
"chest_n",6,"Irish"
"chest_n",6,"Middle Irish"
"chest_n",6,"Latin"
"chest_n",6,"Old Norse"
"chest_n",6,"Welsh"
"silver_adj",23,"Old English"
"silver_adj",23,"Greek"
"silver_n",147,"Basque"
"silver_n",147,"Celtic"
"silver_n",147,"Dutch"
"silver_n",147,"Middle Dutch"
"silver_n",147,"Middle English"
"silver_n",147,"Old English"
"silver_n",147,"Frisian"
"silver_n",147,"German"
"silver_n",147,"Old High German"
"silver_n",147,"Germanic"
"silver_n",147,"Gothic"
"silver_n",147,"Latin"
"silver_n",147,"Lithuanian"
"silver_n",147,"Old Norse"
"silver_n",147,"Church Slavonic"
"silver_n",147,"Old Church Slavonic"
"silver_n",147,"Polish"
"silver_n",147,"Russian"
"silver_n",147,"Slavic"
"lack_n",9,"Dutch"
"lack_n",9,"Middle Dutch"
"lack_n",9,"Middle English"
"lack_n",9,"Old English"
"lack_n",9,"Frisian"
"lack_n",9,"German"
"lack_n",9,"Germanic"
"lack_n",9,"Old Norse"
"lack_v",6,"Dutch"
"lack_v",6,"Middle Dutch"
"sale_n",5,"Danish"
"sale_n",5,"Middle English"
"sale_n",5,"Old English"
"sale_n",5,"French"
"sale_n",5,"German"
"sale_n",5,"Old High German"
"sale_n",5,"Germanic"
"sale_n",5,"Old Norse"
"sale_n",5,"Swedish"
"middle_adj",16,"Delaware"
"middle_adj",16,"Dutch"
"middle_adj",16,"Old English"
"middle_adj",16,"Frisian"
"middle_adj",16,"German"
"middle_adj",16,"Low German"
"middle_adj",16,"Old High German"
"middle_adj",16,"Germanic"
"middle_n",48,"Old English"
"pony_n",97,"French"
"pony_n",97,"Old French"
"pony_n",97,"German"
"pony_n",97,"Greek"
"pony_n",97,"Latin"
"pony_n",97,"Lithuanian"
"pony_n",97,"Sanskrit"
"bag_n",20,"Celtic"
"bag_n",20,"French"
"bag_n",20,"Old French"
"bag_n",20,"German"
"bag_n",20,"Germanic"
"bag_n",20,"Italian"
"bag_n",20,"Old Norse"
"foreign_adj",6,"Old English"
"foreign_adj",6,"French"
"foreign_adj",6,"Old French"
"foreign_adj",6,"Latin"
"harm_n",35,"Old English"
"harm_n",35,"Frisian"
"harm_n",35,"German"
"harm_n",35,"Old High German"
"harm_n",35,"Germanic"
"harm_n",35,"Old Norse"
"harm_v",3,"Old English"
"cabbage_n",1,"Middle English"
"cabbage_n",1,"French"
"cabbage_n",1,"Old French"
"cabbage_n",1,"Italian"
"cabbage_n",1,"Latin"
"mix_v",10,"Middle English"
"mix_v",10,"Old English"
"mix_v",10,"French"
"mix_v",10,"Latin"
"fix_v",11,"French"
"fix_v",11,"Old French"
"fix_v",11,"Latin"
"ah_interj",60,"Old English"
"ah_interj",60,"French"
"ah_interj",60,"Old French"
"ah_interj",60,"Indo-European"
"argue_v",9,"French"
"argue_v",9,"Old French"
"argue_v",9,"Hittite"
"argue_v",9,"Latin"
"common_adj",10,"Old English"
"common_adj",10,"French"
"common_adj",10,"Old French"
"common_adj",10,"German"
"common_adj",10,"Germanic"
"common_adj",10,"Latin"
"common_n",2,"French"
"common_n",2,"Old French"
"common_n",2,"Latin"
"opinion_n",3,"Middle English"
"opinion_n",3,"French"
"opinion_n",3,"Old French"
"opinion_n",3,"Latin"
"outlandish_adj",6,"Danish"
"outlandish_adj",6,"Old English"
"outlandish_adj",6,"German"
"night_n",558,"Dutch"
"night_n",558,"Old English"
"night_n",558,"Frisian"
"night_n",558,"German"
"night_n",558,"Old High German"
"night_n",558,"Germanic"
"night_n",558,"Gothic"
"night_n",558,"Greek"
"night_n",558,"Irish"
"night_n",558,"Old Irish"
"night_n",558,"Latin"
"night_n",558,"Lithuanian"
"night_n",558,"Old Norse"
"night_n",558,"Church Slavonic"
"night_n",558,"Old Church Slavonic"
"night_n",558,"Russian"
"night_n",558,"Sanskrit"
"night_n",558,"Welsh"
"wander_v",74,"Dutch"
"wander_v",74,"Middle Dutch"
"wander_v",74,"Middle English"
"wander_v",74,"Old English"
"wander_v",74,"French"
"wander_v",74,"Frisian"
"wander_v",74,"German"
"wander_v",74,"Low German"
"wander_v",74,"Old High German"
"wander_v",74,"Germanic"
"usual_adj",17,"French"
"usual_adj",17,"Old French"
"usual_adj",17,"Latin"
"offer_n",3,"French"
"offer_n",3,"Old French"
"offer_n",3,"Latin"
"offer_v",37,"Dutch"
"offer_v",37,"Middle Dutch"
"offer_v",37,"Middle English"
"offer_v",37,"Old English"
"offer_v",37,"French"
"offer_v",37,"Old French"
"offer_v",37,"Frisian"
"offer_v",37,"German"
"offer_v",37,"Germanic"
"offer_v",37,"Latin"
"offer_v",37,"Old Norse"
"pint_n",2,"Dutch"
"pint_n",2,"French"
"pint_n",2,"Old French"
"pint_n",2,"German"
"pint_n",2,"Italian"
"pint_n",2,"Latin"
"pint_n",2,"Provençal"
"pint_n",2,"Old Provençal"
"pint_n",2,"Spanish"
"beer_n",26,"Dutch"
"beer_n",26,"Middle Dutch"
"beer_n",26,"Egyptian"
"beer_n",26,"Middle English"
"beer_n",26,"Old English"
"beer_n",26,"French"
"beer_n",26,"Frisian"
"beer_n",26,"German"
"beer_n",26,"Old High German"
"beer_n",26,"Germanic"
"beer_n",26,"Greek"
"beer_n",26,"Latin"
"beer_n",26,"Church Slavonic"
"beer_n",26,"Old Church Slavonic"
"beer_n",26,"Slavic"
"beer_n",26,"Spanish"
"golden_adj",87,"Middle English"
"golden_adj",87,"Old English"
"golden_adj",87,"Ga"
"golden_adj",87,"Greek"
"golden_adj",87,"Latin"
"invite_v",9,"French"
"invite_v",9,"Latin"
"start_v",119,"Dutch"
"start_v",119,"Middle Dutch"
"start_v",119,"Middle English"
"start_v",119,"Old English"
"start_v",119,"Frisian"
"start_v",119,"German"
"start_v",119,"Old High German"
"start_v",119,"Germanic"
"knowledgeable_adj",1,"Middle English"
"nigh_adv",9,"Dutch"
"nigh_adv",9,"Middle Dutch"
"nigh_adv",9,"Middle English"
"nigh_adv",9,"Old English"
"nigh_adv",9,"Frisian"
"nigh_adv",9,"German"
"nigh_adv",9,"Old High German"
"nigh_adv",9,"Germanic"
"nigh_adv",9,"Gothic"
"odd_adj",19,"Dutch"
"odd_adj",19,"Old English"
"odd_adj",19,"Frisian"
"odd_adj",19,"German"
"odd_adj",19,"Old High German"
"odd_adj",19,"Germanic"
"odd_adj",19,"Lithuanian"
"odd_adj",19,"Old Norse"
"package_n",4,"Dutch"
"evening_n",116,"Old English"
"gape_v",6,"Old English"
"gape_v",6,"Ga"
"gape_v",6,"Old Norse"
"drive_v",122,"Dutch"
"drive_v",122,"Middle English"
"drive_v",122,"Old English"
"drive_v",122,"Frisian"
"drive_v",122,"German"
"drive_v",122,"Old High German"
"drive_v",122,"Germanic"
"drive_v",122,"Gothic"
"drive_v",122,"Old Norse"
"singe_v",58,"Dutch"
"singe_v",58,"Middle Dutch"
"singe_v",58,"Middle English"
"singe_v",58,"Old English"
"singe_v",58,"Frisian"
"singe_v",58,"German"
"singe_v",58,"Old High German"
"singe_v",58,"Germanic"
"week_n",34,"Celtic"
"week_n",34,"Dutch"
"week_n",34,"Middle Dutch"
"week_n",34,"Middle English"
"week_n",34,"Old English"
"week_n",34,"Frisian"
"week_n",34,"German"
"week_n",34,"Old High German"
"week_n",34,"Germanic"
"week_n",34,"Gothic"
"week_n",34,"Greek"
"week_n",34,"Indo-European"
"week_n",34,"Old Norse"
"cart_n",12,"Dutch"
"cart_n",12,"Middle Dutch"
"cart_n",12,"Old English"
"cart_n",12,"Old Norse"
"direction_n",36,"Latin"
"tall_adj",187,"Middle English"
"tall_adj",187,"Old English"
"tall_adj",187,"German"
"tall_adj",187,"Middle High German"
"tall_adj",187,"Old High German"
"tall_adj",187,"Germanic"
"tall_adj",187,"Gothic"
"hat_n",23,"Old English"
"hat_n",23,"Frisian"
"hat_n",23,"German"
"hat_n",23,"Germanic"
"hat_n",23,"Latin"
"hat_n",23,"Lithuanian"
"hat_n",23,"Old Norse"
"eyebrow_n",3,"Old English"
"stick_n",14,"Dutch"
"stick_n",14,"Middle Dutch"
"stick_n",14,"Middle English"
"stick_n",14,"Old English"
"stick_n",14,"German"
"stick_n",14,"Old High German"
"stick_n",14,"Germanic"
"stick_n",14,"Old Norse"
"stick_v",29,"Avestan"
"stick_v",29,"Dutch"
"stick_v",29,"Middle English"
"stick_v",29,"Old English"
"stick_v",29,"Frisian"
"stick_v",29,"German"
"stick_v",29,"Old High German"
"stick_v",29,"Germanic"
"stick_v",29,"Greek"
"stick_v",29,"Latin"
"stick_v",29,"Lithuanian"
"stick_v",29,"Persian"
"stick_v",29,"Old Persian"
"stick_v",29,"Russian"
"brim_n",2,"Middle English"
"brim_n",2,"Old English"
"brim_n",2,"German"
"brim_n",2,"Old Norse"
"cargo_n",1,"French"
"cargo_n",1,"Latin"
"cargo_n",1,"Spanish"
"rightly_adv",20,"Old English"
"front_n",61,"French"
"front_n",61,"Old French"
"front_n",61,"Latin"
"front_v",1,"French"
"front_v",1,"Old French"
"bundle_n",21,"Dutch"
"bundle_n",21,"Middle Dutch"
"bundle_n",21,"Old English"
"bundle_n",21,"German"
"bundle_n",21,"Germanic"
"label_n",3,"French"
"label_n",3,"Old French"
"label_n",3,"German"
"label_n",3,"Old High German"
"label_n",3,"Germanic"
"rune_n",17,"Celtic"
"rune_n",17,"Danish"
"rune_n",17,"Middle English"
"rune_n",17,"Old English"
"rune_n",17,"Ga"
"rune_n",17,"Gaelic"
"rune_n",17,"German"
"rune_n",17,"Old High German"
"rune_n",17,"Germanic"
"rune_n",17,"Gothic"
"rune_n",17,"Greek"
"rune_n",17,"Old Norse"
"rune_n",17,"Welsh"
"whose_pron",46,"Old English"
"fire_n",334,"Dutch"
"fire_n",334,"Middle Dutch"
"fire_n",334,"Middle English"
"fire_n",334,"Old English"
"fire_n",334,"Frisian"
"fire_n",334,"Ga"
"fire_n",334,"German"
"fire_n",334,"Old High German"
"fire_n",334,"Germanic"
"fire_n",334,"Latin"
"fire_n",334,"Old Norse"
"fire_v",1,"Middle English"
"fire_v",1,"Old English"
"dangerous_adj",70,"French"
"dangerous_adj",70,"Old French"
"attraction_n",1,"French"
"attraction_n",1,"Old French"
"attraction_n",1,"Latin"
"hence_adv",6,"Old English"
"hence_adv",6,"German"
"hence_adv",6,"Old High German"
"hence_adv",6,"Germanic"
"smile_v",64,"Celtic"
"smile_v",64,"Danish"
"smile_v",64,"Middle English"
"smile_v",64,"Old English"
"smile_v",64,"German"
"smile_v",64,"Low German"
"smile_v",64,"Middle High German"
"smile_v",64,"Old High German"
"smile_v",64,"Germanic"
"smile_v",64,"Latin"
"smile_v",64,"Latvian"
"smile_v",64,"Romance"
"smile_v",64,"Sanskrit"
"smile_v",64,"Slavic"
"smile_v",64,"Swedish"
"sight_n",135,"Danish"
"sight_n",135,"Dutch"
"sight_n",135,"Middle Dutch"
"sight_n",135,"Middle English"
"sight_n",135,"Old English"
"sight_n",135,"German"
"sight_n",135,"Old High German"
"sight_n",135,"Germanic"
"sight_n",135,"Swedish"
"stop_v",127,"Middle English"
"stop_v",127,"Old English"
"stop_v",127,"French"
"stop_v",127,"Frisian"
"stop_v",127,"German"
"stop_v",127,"Low German"
"stop_v",127,"Old High German"
"stop_v",127,"Germanic"
"stop_v",127,"Italian"
"stop_v",127,"Latin"
"display_v",4,"French"
"display_v",4,"Old French"
"display_v",4,"Latin"
"legendary_adj",2,"Latin"
"penny_n",4,"Danish"
"penny_n",4,"Dutch"
"penny_n",4,"Middle Dutch"
"penny_n",4,"Middle English"
"penny_n",4,"Old English"
"penny_n",4,"Frisian"
"penny_n",4,"Ga"
"penny_n",4,"German"
"penny_n",4,"Old High German"
"penny_n",4,"Germanic"
"penny_n",4,"Gothic"
"penny_n",4,"Irish"
"penny_n",4,"Latin"
"penny_n",4,"Old Norse"
"penny_n",4,"Swedish"
"disappointment_n",1,"French"
"onlooker_n",3,"Old English"
"disappear_v",30,"French"
"shut_v",46,"Dutch"
"shut_v",46,"Middle Dutch"
"shut_v",46,"Middle English"
"shut_v",46,"Old English"
"shut_v",46,"Frisian"
"shut_v",46,"German"
"shut_v",46,"Germanic"
"star_n",187,"Danish"
"star_n",187,"Dutch"
"star_n",187,"Middle English"
"star_n",187,"Old English"
"star_n",187,"Frisian"
"star_n",187,"German"
"star_n",187,"Old High German"
"star_n",187,"Germanic"
"star_n",187,"Gothic"
"star_n",187,"Old Norse"
"star_n",187,"Swedish"
"glow_v",38,"Danish"
"glow_v",38,"Middle English"
"glow_v",38,"Old English"
"glow_v",38,"Frisian"
"glow_v",38,"German"
"glow_v",38,"Old High German"
"glow_v",38,"Germanic"
"glow_v",38,"Old Norse"
"glow_v",38,"Swedish"
"snap_n",2,"Dutch"
"snap_n",2,"Middle Dutch"
"snap_n",2,"German"
"snap_n",2,"Low German"
"snap_n",2,"Germanic"
"snap_v",12,"Dutch"
"snap_v",12,"Middle Dutch"
"snap_v",12,"German"
"snap_v",12,"Low German"
"snap_v",12,"Germanic"
"dragon_n",14,"Albanian"
"dragon_n",14,"Old English"
"dragon_n",14,"French"
"dragon_n",14,"Old French"
"dragon_n",14,"German"
"dragon_n",14,"Old High German"
"dragon_n",14,"Gothic"
"dragon_n",14,"Greek"
"dragon_n",14,"Hebrew"
"dragon_n",14,"Irish"
"dragon_n",14,"Old Irish"
"dragon_n",14,"Latin"
"dragon_n",14,"Sanskrit"
"nasturtium_n",1,"Old English"
"nasturtium_n",1,"Latin"
"turf_n",21,"Danish"
"turf_n",21,"Middle English"
"turf_n",21,"Old English"
"turf_n",21,"French"
"turf_n",21,"Frisian"
"turf_n",21,"German"
"turf_n",21,"Old High German"
"turf_n",21,"Germanic"
"turf_n",21,"Old Norse"
"turf_n",21,"Sanskrit"
"dear_adj",68,"Dutch"
"dear_adj",68,"Middle Dutch"
"dear_adj",68,"Old English"
"dear_adj",68,"Finnish"
"dear_adj",68,"Frisian"
"dear_adj",68,"German"
"dear_adj",68,"Old High German"
"dear_adj",68,"Germanic"
"dear_adj",68,"Old Norse"
"enjoy_v",9,"Old English"
"enjoy_v",9,"French"
"enjoy_v",9,"Old French"
"enjoy_v",9,"Latin"
"myself_pron",86,"Old English"
"joke_n",13,"Breton"
"joke_n",13,"French"
"joke_n",13,"German"
"joke_n",13,"Old High German"
"joke_n",13,"Irish"
"joke_n",13,"Middle Irish"
"joke_n",13,"Italian"
"joke_n",13,"Latin"
"joke_n",13,"Lithuanian"
"joke_n",13,"Portuguese"
